pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0034011,State Farm Stadium,6,4,0.52,0.5538461538461539,3.4,rec_yards,D.Arnold,TE,JAX,2022
00-0037742,Nissan Stadium,8,4,0.38095238095238093,0.4149659863945578,3.4,rec_yards,T.Burks,WR,WAS,2025
00-0039065,Ford Field,15,8,0.45454545454545453,0.4883116883116883,3.4,rec_yards,S.LaPorta,TE,DET,2025
00-0035659,MetLife Stadium,7,4,0.44,0.4740740740740741,3.4,rec_yards,T.McLaurin,WR,WAS,2025
00-0033009,Paycor Stadium,13,7,0.453125,0.48674242424242425,3.4,rec_yards,T.Boyd,WR,TEN,2024
00-0034855,SoFi Stadium,6,4,0.52,0.5538461538461539,3.4,pass_yards,B.Mayfield,QB,TB,2025
00-0039337,MetLife Stadium,8,4,0.38461538461538464,0.4175824175824176,3.3,rec_yards,M.Nabers,WR,NYG,2025
00-0034272,Mercedes-Benz Superdome,5,3,0.43548387096774194,0.46838709677419355,3.3,rec_yards,M.Valdes-Scantling,WR,PIT,2025
00-0032063,Mercedes-Benz Stadium,7,4,0.4444444444444444,0.4773662551440329,3.3,rush_yards,M.Davis,RB,BAL,2022
00-0027981,U.S. Bank Stadium,5,3,0.43478260869565216,0.4678260869565217,3.3,rec_yards,K.Rudolph,TE,TB,2022
00-0038041,AT&T Stadium,25,10,0.3404255319148936,0.3735224586288416,3.3,rec_yards,J.Ferguson,TE,DAL,2025
00-0037745,Soldier Field,8,4,0.38461538461538464,0.4175824175824176,3.3,rec_yards,V.Jones,RB,SEA,2025
00-0036963,U.S. Bank Stadium,4,3,0.5522388059701493,0.5851990049751244,3.3,rec_yards,A.St. Brown,WR,DET,2025
00-0037304,Acrisure Stadium,14,6,0.34782608695652173,0.3810741687979539,3.3,rec_yards,Co.Heyward,TE,PIT,2025
00-0036196,New Era Field,27,13,0.423728813559322,0.4569058781103498,3.3,rec_yards,G.Davis,WR,BUF,2025
00-0035125,Hard Rock Stadium,13,5,0.3,0.3333333333333333,3.3,rush_yards,A.Ingold,RB,MIA,2025
00-0031408,Bank of America Stadium,5,3,0.4411764705882353,0.47294117647058825,3.2,rec_yards,M.Evans,WR,TB,2025
00-0031273,Raymond James Stadium,13,6,0.3793103448275862,0.4117032392894462,3.2,rec_yards,C.Brate,TE,TB,2022
00-0030564,Nissan Stadium,8,4,0.3880597014925373,0.4200426439232409,3.2,rec_yards,D.Hopkins,WR,BAL,2025
00-0036383,State Farm Stadium,4,2,0.3076923076923077,0.3397435897435897,3.2,rush_yards,E.Benjamin,RB,NO,2022
00-0033681,MetLife Stadium,6,3,0.36666666666666664,0.3974358974358974,3.1,rec_yards,K.Cole,WR,LV,2022
00-0036555,Bank of America Stadium,29,16,0.5,0.5306122448979592,3.1,rush_yards,C.Hubbard,RB,CAR,2025
00-0039355,FedExField,7,3,0.3076923076923077,0.33903133903133903,3.1,rec_yards,L.McCaffrey,WR,WAS,2025
00-0033681,TIAA Bank Stadium,6,3,0.36666666666666664,0.3974358974358974,3.1,rec_yards,K.Cole,WR,LV,2022
00-0036212,Hard Rock Stadium,32,16,0.45,0.4807692307692308,3.1,pass_yards,T.Tagovailoa,QB,MIA,2025
00-0036924,State Farm Stadium,8,4,0.391304347826087,0.42236024844720493,3.1,rush_yards,M.Carter,RB,ARI,2025
00-0033572,TIAA Bank Stadium,9,4,0.3448275862068966,0.375743162901308,3.1,rec_yards,J.Agnew,WR,JAX,2023
00-0038551,Mercedes-Benz Superdome,6,3,0.36363636363636365,0.3951048951048951,3.1,rush_yards,K.Miller,RB,NO,2025
00-0029738,NRG Stadium,5,3,0.4444444444444444,0.47555555555555556,3.1,rec_yards,D.Fells,TE,DET,2021
00-0035831,TIAA Bank Stadium,11,5,0.36666666666666664,0.3978494623655914,3.1,rush_yards,J.Robinson,RB,GB,2023
